"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Jobseeker's Allowance (JSA): new claims","3320000","530000","73.0","3260000","1011481","73.0","Requesting benefits/grants/loans","https://www.dwpe-services.direct.gov.uk/portal/page/portal/jsaol/lp","Jobseekers Allowance (JSA) is the main benefit for people who are out of work and seeking employment. It is based on  either National Insurance (NI) contributions or low income.","New claims involve several interactions with the applicant and third parties such as ex-employers to, for example, assemble evidence to validate identity and eligibility in line with benefit regulations and fraud avoidance strategies, issue NI numbers if the applicant does not have one, and deal with any appeals against the decisions made.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of processing an application up to the point that payments commence. The ongoing costs of maintaining the claim after this point have been separately shown against the transaction type 'JSA: claims maintained'.<br>The costs of these various interactions are aggregated and averaged to give a cost per application and this is presented on a fully absorbed basis but excluding investment (change) costs. DWP is introducing changes to improve the accuracy of  IT cost apportionment.","The number of transactions given is the annual number of applications processed in 2012, whether successful or not.<br>It covers new applications for JSA from initial enquiry through to the claim commencing payment.","Citizen (challenged)","Fiscal"
"Local government","Local Govt","Local government","","Streetscene","","","","","","","","","","","","",""
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","DVLA refund","2853000","0","1.88","","","","Requesting benefits/grants/loans","https://www.gov.uk/apply-for-tax-disc-refund-form-v14","This transaction is to allow the current or last registered keeper of a vehicle to apply for a refund of vehicle excise duty for each complete month remaining on the disc. <br>Refund applications have to be submitted by post by completing an appropriate application form.  DVLA will also need to have been notified of an appropriate event indicating why the refund is being applied for.","The SLA unit costs are calculated by the SLA model, which allocates all costs, except projects, to operational activities, mainly Drivers, Vehicles Registration, Vehicles Licensing, Sale of Marks and Enforcement.  These costs include both the costs directly incurred by operational areas and an allocation of support areas such as HR and Finance.  The costs in each activity are then split by timings into individual transactions, we can then calculate the unit cost by dividing the allocated cost by the transaction volume.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Pension Credit: claims maintained","2650000","0","48.0","2550000","0","48.0","Requesting benefits/grants/loans","https://www.gov.uk/pension-credit","Pension Credit is a regular payment for people who reach State Pension age, and is an income-related benefit. This data covers  the maintaining of existing claims  after initial eligibility and amount due have been established.","Maintaining claims involves many interactions with people across the duration of their claim.  It includes contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with appeals against decisions made. It also includes the fortnightly making of payments and queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence, including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of  claims that have been maintained in 2012.","Citizen (challenged)","Fiscal"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Incapacity Benefit/ Employment and Support Allowance (ESA): claims maintained","2550000","0","140.0","2510000","0","140.0","Requesting benefits/grants/loans","https://www.gov.uk/employment-support-allowance/eligibility","Employment and Support Allowance (ESA) is the main benefit for people who are sick or disabled and is based on  either National Insurance (NI) contributions or low income. ESA is replacing Incapacity Benefit (IB).","Maintaining claims involves many interactions with people and third parties, such as medical professionals, across the duration of their claim. It includes medical reviews, contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with any appeals against decisions made. It also includes the fortnightly making of payments and any queries about non-receipt.<br>The costs used represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of claims maintained in 2012.<br>This data covers the maintenance of existing claims after initial eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Driving licence: renewal","2405994","403499","4.72","","","","Amending/deleting information","https://www.gov.uk/change-photo-driving-licence","This is a renewal of a driving licence for customers, which occurs every 10 years from date of issue. An automatic reminder is sent to customers inviting them to apply. Online, intermediary or paper route is available. There is a £20 fee for this transaction.","The majority of the  costs are fixed or are the same per call for all driver licensing transactions.  Fixed costs are divided by the volume splits which results in the cost per transaction being  the same.  There are variables in things such as processing times and the number of telephone calls generated per transaction but the differences are too small to make an impact on the unit cost.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Local government","Local Govt","Local government","","Births, marriages and deaths","","","","","","","","","","","","",""
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","First registration of vehicle","2381218","2111000","2.69","","","","Providing/reporting information","https://www.gov.uk/vehicle-registration/new-registrations","The majority of new vehicles are registered by Motor Dealers using the Automated First Registration and Licensing System (AFRL). Vehicles can also be registered via Local Offices by completing a V55 application form. A £55 first registration fee is payable.","The SLA unit costs are calculated by the SLA model, which allocates all costs, except projects, to operational activities, mainly Drivers, Vehicles Registration, Vehicles Licensing, Sale of Marks and Enforcement.  These costs include both the costs directly incurred by operational areas and an allocation of support areas such as HR and Finance.  The costs in each activity are then split by timings into individual transactions, we can then calculate the unit cost by dividing the allocated cost by the transaction volume.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Companies House","","Annual returns","2262898","2184914","5.2","2358738","2301214","2.63","Providing/reporting information","http://www.companieshouse.gov.uk/","The Annual Return is a statutory requirement of the Companies Act and applies to all Companies and LLPs.  This provides the public with a synopsis of the company every year and includes information on Directors, shareholders, Company type etc SIC codes etc etc.","An annual fee is attached to the annual return. The annual fee covers the registration costs of annual returns, accounts filing and all other document filing for Limited Liability Companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.<div class='application-notice info-notice'><p>Note:Companies House now provide separate overall cost figures for each transaction, using a different methodology to that from Q4 2012. Using the original methodology, the current cost per transaction would now be £4.80.</p></div>","","Business","Cost recovery"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Driving licence: change of address","2285214","512894","3.75","","","","Amending/deleting information","https://www.gov.uk/change-address-driving-licence","This service allows customers to update the address on the driving licence and therefore the driver record. It applies to all customers who hold a UK driving entitlement. The transaction is free and services available to complete this transaction are online, paper channel or telephone. Customers are able to apply via post using the paper counterpart of their current driving licence","The majority of the  costs are fixed or are the same per call for all driver licensing transactions.  Fixed costs are divided by the volume splits which results in the cost per transaction being  the same.  There are variables in things such as processing times and the number of telephone calls generated per transaction but the differences are too small to make an impact on the unit cost.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Companies House","","Other document filing (filing transactions)","2247968","1858622","5.2","2186450","1881386","3.88","Providing/reporting information","http://www.companieshouse.gov.uk/","Registration of all other documents apart from accounts, annual returns and other fee bearing transactions. The many documents in this category can be filed by any limited liability entity, and fulfil a company's statutory registration obligations under the Companies Act and other legislation. Document filings can range from information provided by several thousand companies a year to a transaction filed by a company once in 5-10 years.","An annual fee is attached to the annual return. The annual fee covers the registration costs of annual returns, accounts filing and all other document filing for Limited Liability Companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.<div class='application-notice info-notice'><p>Note:Companies House now provide separate overall cost figures for each transaction, using a different methodology to that from Q4 2012. Using the original methodology, the current cost per transaction would now be £4.80.</p></div>","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Companies House","","Accounts filing","2060509","852031","5.2","2174095","1033709","8.08","Providing/reporting information","http://www.companieshouse.gov.uk/","The accounts are an annual statutory filing requirements of all limited companies and LLPs. They provide the public with accounts information. The costs of filing accounts is recovered through the Annual Fee attached to the Annual Return.","An annual fee is attached to the annual return. The annual fee covers the registration costs of annual returns, accounts filing and all other document filing for Limited Liability Companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.<div class='application-notice info-notice'><p>Note:Companies House now provide separate overall cost figures for each transaction, using a different methodology to that from Q4 2012. Using the original methodology, the current cost per transaction would now be £4.80.</p></div>","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Companies House","","Director and mortgage detail searches","2723489","2723489","1.0","2127754","2127754","1.0","Requesting information","http://www.companieshouse.gov.uk/","Provision of director information and charge information via web-based search services.","","","Business","Cost recovery"
"Department for Transport","DfT","Driving Standards Agency","DSA","Book practical driving test","1942010","1502000","1.1","1932622","1520291","1.17","Booking an appointment","https://www.gov.uk/book-practical-driving-test","Service aimed at learner drivers to allow the booking and fee payment for a practical driving test.","","","Citizen (mainstream)","Cost recovery"
"Ministry of Justice","MoJ","HM Courts & Tribunals Service","HMCTS","Court fine payments","1882828","250919","","1900000","","","Making a payment (taxes and fines)","https://courtfines.direct.gov.uk/courtfines/pages/select.do","Fines are the most common sentence passed out in criminal courts. Courts can also impose fines for driving offences, not paying a fixed penalty notice, and not having a TV licence.","","<div class='application-notice help-notice'><p>This transactional data, provided by the Ministry of Justice, is all that is available at the present time. Performance data for some services is currently not collected as the systems were not originally designed to do so, and will be addressed as these services are digitally redeveloped in line with the commitments within our digital strategy.<br>Contact <a href="mailto:digital@justice.gsi.gov.uk">digital@justice.gsi.gov.uk</a> for enquiries about the MoJ Digital Strategy.</p></div>","Citizen (challenged)","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Agent Authorisation","1788457","411188","6.49","","","","Requesting a licence/authorisation","","Agent Authorisation is a system used by tax agents, advisers or accountants for authority to deal with HMRC on behalf of an individual or a business. Transactions include registrations, licence requests and authorisations.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Agent Authorisation&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Agent Authorisation service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Land Registry","HMLR","Search of whole (Land Registry)","1733839","1648405","2.64","","","","Requesting information","http://www.landregistry.gov.uk/professional/business-e-services","A person who wishes to protect a transaction for value, such as purchase, lease or charge, may make an official search of whole with priority against either the whole or part of a registered title or pending first registration. <br>The effect of the official search with priority is to “freeze” the title to allow the application to be lodged. This protected application takes priority over other applications lodged within the priority period.","Applications can be received via different channels, requiring different processes and may contain multiple transactions. The published cost per transaction is therefore an average cost, including apportioned overheads, based on Land Registry’s 2011/12 published accounts.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/land_registry?title=Service data for Search of whole (Land Registry)&body=Dear Land Registry,%0A%0APlease provide the following data for the Search of whole (Land Registry) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Attendance Allowance: claims maintained","1740000","0","15.0","1710000","0","15.0","Requesting benefits/grants/loans","https://www.gov.uk/attendance-allowance","Attendance Allowance is a regular payment for people who need help with personal care because they are physically or mentally disabled and you’re aged 65 or over.","Costs cover many interactions with people and third parties such, as medical professionals, across the duration of the claim. It includes medical reviews, contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealings with appeals against decisions made. It also includes the making of payments and any queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of  claims that have been maintained in 2012.<br>The data covers the maintenance of existing claims after initial eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","KANA","1650291","1650291","0.1","","","","","","KANA is a software product used to process external emails from customers on a variety of subjects. In future data releases, transactions completed through KANA will be reallocated to the relevant services.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for KANA&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the KANA service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Destruction of vehicles (certificates and notifications)","1649747","1649747","","","","","Providing/reporting information","https://www.gov.uk/scrapped-and-written-off-vehicles/scrapping-your-vehicle","Certificates of Destruction (COD) are issued by an Authorised Treatment Facility (ATF) when certain types of vehicles are taken in for destruction. A notification of destruction applies to other vehicles falling outside COD. The DVLA vehicle record will be void when a vehicle has been notified as being destroyed.","It is not currently possible to break down the cost of destruction of vehicle certifications and notifications as this transaction forms part of a more complex process for disposing of a vehicle.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Land Registry","HMLR","Search of the index map (Land Registry)","1636205","1060308","9.28","","","","Requesting information","http://www.landregistry.gov.uk/professional/business-e-services","The purpose of a search of the index map is to find out whether or not land is registered and, if so, to obtain the title number. Any person may apply for an official search of the index map.","Applications can be received via different channels, requiring different processes and may contain multiple transactions. The published cost per transaction is therefore an average cost, including apportioned overheads, based on Land Registry’s 2011/12 published accounts.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/land_registry?title=Service data for Search of the index map (Land Registry)&body=Dear Land Registry,%0A%0APlease provide the following data for the Search of the index map (Land Registry) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Cost recovery"
"Department for Transport","DfT","Driving Standards Agency","DSA","Book theory driving test","1694995","1510239","","1626560","1471273","","Booking an appointment","https://www.gov.uk/book-a-driving-theory-test","Service aimed at learner drivers to allow the booking and fee payment for a theory driving test - provided as part of a wider outsourced contract to fully deliver the theory test itself","Transactional cost data is not available separately since the booking process is part of a much wider and fully outsourced contract for the delivery of the theory test itself.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Learning Records Service Organisation Portal: provider creates/manages unique learner number (ULN)","540000","","","1563900","","","Providing/reporting information","http://www.learningrecordsservice.org.uk/products/lrs/","Learning Records Service: Total number of Unique Learner Numbers (ULNs) created","This transaction shows the total number of URNs created, which consists of batch uploads (a single transaction creating many muliple URNs), and individual manually created URNs. SFA are currently unable to provide a breakdown of batch uploads and individual manually created URNs, but are investigating this with a view to providing data on costs.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/sfa?title=Service data for Learning Records Service Organisation Portal: provider creates/manages unique learner number (ULN)&body=Dear Skills Funding Agency,%0A%0APlease provide the following data for the Learning Records Service Organisation Portal: provider creates/manages unique learner number (ULN) service, covering the period January 2012 to December 2012:%0A%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Stamp Duty Land Tax (SDLT)","1533172","953554","2.12","","","","Providing/reporting information","https://www.gov.uk/buy-sell-your-home/stamp-duty-land-tax","Stamp Duty Land Tax (SDLT) is generally payable on the purchase or transfer of property or land in the UK where the amount paid is above a certain threshold. Transactions include form submissions and amended submissions.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Stamp Duty Land Tax (SDLT)&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Stamp Duty Land Tax (SDLT) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Environment Agency","EA","Rod licences","1500000","250000","1.59","","","","Requesting a licence/authorisation","http://www.environment-agency.gov.uk/rodlicence/","Successful applications for fishing rod licences. A valid Environment Agency rod licence is required if you are aged 12 or over and fish for salmon, trout, freshwater fish, smelt or eel in England (except the River Tweed), Wales, and the Border Esk and its tributaries in Scotland. The licence gives you the right to use a fishing rod and line, but does not give you a right to fish.","","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/environment_agency?title=Service data for Rod licences&body=Dear Environment Agency,%0A%0APlease provide the following data for the Rod licences service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Jobseeker's Allowance (JSA): claims maintained","1500000","0","325.0","1490000","0","325.0","Requesting benefits/grants/loans","https://www.gov.uk/jobseekers-allowance","Jobseekers Allowance (JSA) is the main benefit for people who are out of work and seeking employment. It is based on  either National Insurance (NI) contributions or low income.","Maintaining claims involves many interactions with people across the duration of their claim. It includes part of the fortnightly 'signing' meeting, contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and any appeals against decisions made. It also includes the fortnightly making of payments and queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of claims maintained at any one time in 2012.<br>This data covers claims after eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"Ministry of Justice","MoJ","HM Courts & Tribunals Service","HMCTS","Money claims","1174000","","","1425658","658150","9.99","Providing/reporting information","https://www.moneyclaim.gov.uk/web/mcol/welcome","Money claims are a way of taking legal action against an individual or business who owes money, to demand repayment. Most claims are undefended, and only a small minority end up in a court hearing.","The overall cost may be severely distorted due to missing information from county courts (180 across the country) and underrepresented figures from civil claims bulk centre in Northampton, call centre in Loughborough and paper centralised centre in Salford; and some data is missing for printing and mailing operations.<br>Cost per digital transaction may also be underestimated due to missing figures.","","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Ordering certificates (births, adoptions, marriages, civil partnerships, deaths)","1400000","1199700","10.0","1371099","1176430","9.49","Ordering goods","https://www.gov.uk/order-copy-birth-death-marriage-certificate","Ordering an official copy of a certificate (e.g for births, adoptions, marriages, civil partnerships and deaths).","Unit cost for producing and issuing a certificate. The average cost does not align with individual certificate fees as it is an aggregation of the differing channel/service pricing structures. This service is cost recovery funded.","","Citizen (mainstream)","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Income Support: claims maintained","1610000","0","116.0","1350000","0","116.0","Requesting benefits/grants/loans","https://www.gov.uk/income-support/overview","Income Support is extra money for those on a low income or none at all, who are working less than 16 hours a week, haven’t signed on as unemployed, and are a lone parent or carer.","Maintaining claims involves many interactions, including contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and appeals against decisions made. It also includes the making of payments and any queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence, including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained, and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of claims maintained in 2012.<br>This data covers  the maintenance of existing claims after initial eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Driving licence: renewal at 70","1296124","292155","3.75","","","","Requesting a licence/authorisation","https://www.gov.uk/renew-your-driving-licence-if-you-are-70-or-over","This is a renewal of driving licence entitlement for those who are 70 years of age or above. An automatic reminder is sent to these customers inviting them to reapply. Online or paper channel is available. There is currently no fee charged for this transaction.","The majority of the  costs are fixed or are the same per call for all transactions.  Fixed costs are divided by the volume splits which results in the cost per transaction being  the same.  There are variables in things such as processing times and the number of telephone calls generated per transaction but the differences are too small to make an impact on the unit cost.","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (challenged)","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Overseas State Pension: claims maintained","1210000","0","11.0","1220000","0","11.0","Requesting benefits/grants/loans","https://www.gov.uk/state-pension-if-you-retire-abroad","Overseas State Pension (IPC SP) is a regular payment for people who reach State Pension age and are resident overseas. It is based on National Insurance (NI) contributions.","Costs cover interactions with people drawing State Pension overseas across the duration of their claim.  It includes contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with appeals against decisions made. It also includes the making of payments and handling queries about non-receipt.<br>The costs are for the financial year 2011/12 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim. The cost of the job search aspect of fortnightly signing is excluded and is covered under 'Jobsearch reviews'.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual average of the number of  claims by UK nationals resident overseas that have been maintained in 2012.<br>The data covers the maintenance of existing claims  after the initial eligibility and amount due have been established.","Citizen (challenged)","Fiscal"
"Local government","Local Govt","Local government","","Tourism","","","","","","","","","","","","",""
"Department for Business, Innovation and Skills","BIS","National Apprenticeship Service","NAS","Apprenticeship vacancies: applications","1136640","1136640","0.35","1190925","1190925","0.33","Providing/reporting information","http://www.apprenticeships.org.uk/About-Us/National-Apprenticeship-Service.aspx/","The national online recruitment system for apprenticeships in England. The system allows individuals aged 16 and over to apply for apprenticeship vacancies.","For this period the cost of maintaining the Apprenticeship vacancies system was £1.59 million. This transaction represents 25% of the overall system and so the costs equate to £397,500. Based on the volume of applications for this period, the cost per transaction comes to 33 pence. Due to the young person element of Apprenticeship vacancies we also cross charge funding back to DFE by 50% to account for this.","","Citizen (mainstream)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Lost or stolen registration certificate (V5)","1170698","0","2.08","","","","Providing/reporting information","https://www.gov.uk/vehicle-registration-certificate-v5c-log-book","This transaction is to allow the current keeper of a vehicle to apply for a replacement registration certificate where the previous document has been lost or stolen. There is normally a fee of £25 for this transaction and customers are able to apply via a paper channel and also by telephone where there are no changes to notify.","","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Cost recovery"
